Parallax,"""星察"""
Inaros Horus Skin,"""Inaros荷鲁斯外观"""
Ember Ignition Skin,"""Ember引燃外观"""
Loki Incubus Skin,"""Loki梦魇外观"""
Equinox Insomnia Skin,"""Equinox不寐外观"""
Saryn Integra Skin,"""Saryn型格外观"""
Heavy Blade Kilzorath Skin,"""巨刃天剑外观"""
Trinity Knightess Skin,"""Trinity女骑士外观"""
Galatine Magesty Skin,"""迦伦提恩威严外观"""
Ember Magesty Skin,"""Ember威严外观"""
Rhino Mastodon Skin,"""Rhino乳齿象外观"""
Heavy Blade Mithra Skin,"""巨刃密特拉外观"""
Mirage Mithra Skin,"""Mirage密特拉外观"""
Atlas Monolith Skin,"""Atlas独石外观"""
Mirage Morgaine Skin,"""Mirage摩甘娜外观"""
Saryn Napellus Skin,"""Saryn舟形乌头外观"""
Saryn Nita'S Moda Skin,"""Saryn妮塔的时尚外观"""
Polearm Phorcys Skin,"""长柄武器福耳库斯外观"""
Hydroid Poseidon Skin,"""Hydroid波塞冬外观"""
Chroma Drevni Skin,"""Chroma古龙外观"""
Excalibur Apex Skin,"""Excalibur顶点外观"""
Excalibur Caduto Skin,"""Excalibur陷落外观"""
Excalibur Graxx Skin,"""Excalibur G之风格外观"""
Mirage Graxx Skin,"""Mirage G之风格外观"""
Mirage Sigyn Skin,"""Mirage西格恩外观"""
Nyx Athena Skin,"""Nyx雅典娜外观"""
Rhino Graxx Skin,"""Rhino G之风格外观"""
Rhino Vojnik Skin,"""Rhino列兵外观"""
Valkyr Graxx Skin,"""Valkyr G之风格外观"""
Volt Graxx Skin,"""Volt G之风格外观"""
Chroma Vojnik Skin,"""Chroma列兵外观"""
Ember Graxx Skin,"""Ember G之风格外观"""
Frost Emperor Skin,"""Frost帝王外观"""
Nyx Graxx Skin,"""Nyx G之风格外观"""
Saryn Graxx Skin,"""Saryn G之风格外观"""
Banshee Sonority Skin,"""Banshee洪亮外观"""
Heavy Blade Tengoken Skin,"""巨刃天剑外观"""
Ash Tsukuyomi Skin,"""Ash月读外观"""
Titania Unseelie Skin,"""Titania邪恶妖精外观"""
Limbo Vasiona Skin,"""Limbo宇宙外观"""
Saryn Velenosa Skin,"""Saryn恶毒外观"""
Limbo Vistyxio Skin,"""Limbo冥界子爵外观"""
Oberon Wendigo Skin,"""Oberon温迪戈外观"""
Nezha Yaksha Skin,"""Nezha夜叉外观"""
Ivara Youkai Skin,"""Ivara妖怪外观"""
Volt Zener Skin,"""Volt齐纳外观"""
Chroma Dynasty Helmet,"""Chroma王朝头盔"""
Excalibur Onyx Helmet,"""Excalibur玛瑙头盔"""
Nezha Jinza Helmet,"""Nezha金吒头盔"""
Ivara Obsidian Helmet,"""Ivara黑曜石头盔"""
Ivara Zirastra Helmet,"""Ivara头罩头盔"""
Inaros Canopic Helmet,"""Inaros卡诺匹斯头盔"""
Excalibur Prominence Helmet,"""Excalibur名望头盔"""
Wukong Macak Helmet,"""Wukong猕猴头盔"""
Arcane Locust Helmet,"""飞蝗秘奥头盔"""
Arcane Chorus Helmet,"""合音秘奥头盔"""
Arcane Reverb Helmet,"""返响秘奥头盔"""
Arcane Phoenix Helmet,"""凤凰秘奥头盔"""
Arcane Backdraft Helmet,"""复燃秘奥头盔"""
Arcane Avalon Helmet,"""阿瓦隆秘奥头盔"""
Arcane Pendragon Helmet,"""潘德拉冈秘奥头盔"""
Arcane Aurora Helmet,"""极光秘奥头盔"""
Arcane Squall Helmet,"""飑风秘奥头盔"""
Arcane Menticide Helmet,"""灭神秘奥头盔"""
Arcane Essence Helmet,"""本质秘奥头盔"""
Arcane Swindle Helmet,"""诈欺秘奥头盔"""
Arcane Coil Helmet,"""线圈秘奥头盔"""
Arcane Gauss Helmet,"""高斯秘奥头盔"""
Arcane Scorpion Helmet,"""毒蝎秘奥头盔"""
Arcane Flux Helmet,"""通量秘奥头盔"""
Arcane Vespa Helmet,"""黄蜂秘奥头盔"""
Arcane Thrak Helmet,"""震击秘奥头盔"""
Arcane Vanguard Helmet,"""先锋秘奥头盔"""
Arcane Chlora Helmet,"""氯毒秘奥头盔"""
Arcane Hemlock Helmet,"""铁杉秘奥头盔"""
Arcane Esprit Helmet,"""机敏秘奥头盔"""
Arcane Aura Helmet,"""预言秘奥头盔"""
Arcane Meridian Helmet,"""经络秘奥头盔"""
Arcane Gambit Helmet,"""策略秘奥头盔"""
Arcane Storm Helmet,"""风暴秘奥头盔"""
Arcane Pulse Helmet,"""脉冲秘奥头盔"""
Ash Locust Helmet,"""Ash飞蝗头盔"""
Banshee Chorus Helmet,"""Banshee合音头盔"""
Banshee Reverb Helmet,"""Banshee返响头盔"""
Banshee Helmet,"""Banshee头盔"""
Banshee Soprana Helmet,"""Banshee女高音头盔"""
Valkyr Gersemi Helmet,"""Valkyr璀璨头盔"""
Atlas Helmet,"""Atlas头盔"""
Chroma Helmet,"""Chroma头盔"""
Ember Phoenix Helmet,"""Ember凤凰头盔"""
Ember Backdraft Helmet,"""Ember复燃头盔"""
Ember Helmet,"""Ember头盔"""
Ember Prime Helmet,"""Ember Prime头盔"""
Equinox Helmet,"""Equinox头盔"""
Excalibur Avalon Helmet,"""Excalibur阿瓦隆头盔"""
Excalibur Pendragon Helmet,"""Excalibur潘德拉冈头盔"""
Excalibur Helmet,"""Excalibur头盔"""
Excalibur Mordred Helmet,"""Excalibur莫德雷头盔"""
Excalibur Prime Helmet,"""Excalibur Prime头盔"""
Excalibur Umbra Helmet,"""ExcaliburUmbra头盔"""
Excalibur Jade Helmet,"""Excalibur翡翠头盔"""
Titania Aurai Helmet,"""Titania风之妖精头盔"""
Frost Aurora Helmet,"""Frost极光头盔"""
Frost Squall Helmet,"""Frost飑风头盔"""
Frost Helmet,"""Frost头盔"""
Frost Harka Helmet,"""Frost寒地牛怪头盔"""
Frost Prime Helmet,"""Frost Prime头盔"""
Mesa Longhorn Helmet,"""Mesa长角头盔"""
Mesa Helmet,"""Mesa头盔"""
Mirage Harlequin Helmet,"""Mirage丑角头盔"""
Mirage Helmet,"""Mirage头盔"""
Hydroid Triton Helmet,"""Hydroid海之信使头盔"""
Hydroid Helmet,"""Hydroid头盔"""
Nyx Menticide Helmet,"""Nyx灭神头盔"""
Nyx Helmet,"""Nyx头盔"""
Loki Essence Helmet,"""Loki本质头盔"""
Loki Swindle Helmet,"""Loki诈欺头盔"""
Loki Helmet,"""Loki头盔"""
Loki Knave Helmet,"""Loki无赖头盔"""
Loki Enigma Helmet,"""Loki谜样头盔"""
Loki Prime Helmet,"""Loki Prime头盔"""
Mag Coil Helmet,"""Mag线圈头盔"""
Mag Gauss Helmet,"""Mag高斯头盔"""
Mag Helmet,"""Mag头盔"""
Limbo Helmet,"""Limbo头盔"""
Mag Prime Helmet,"""Mag Prime头盔"""
Mesa Ovis Helmet,"""Mesa角羊头盔"""
Mirage Trivelin Helmet,"""Mirage丑仆头盔"""
Wukong Helmet,"""Wukong头盔"""
Nekros Helmet,"""Nekros头盔"""
Nekros Shroud Helmet,"""Nekros裹尸布头盔"""
Nekros Raknis Helmet,"""Nekros古墓头盔"""
Nyx Prime Helmet,"""Nyx Prime头盔"""
Nezha Circa Helmet,"""Nezha奇尔卡头盔"""
Nezha Helmet,"""Nezha头盔"""
Ash Scorpion Helmet,"""Ash毒蝎头盔"""
Ash Helmet,"""Ash头盔"""
Ash Koga Helmet,"""Ash甲贺头盔"""
Nova Quantum Helmet,"""Nova量子头盔"""
Nova Flux Helmet,"""Nova通量头盔"""
Nova Helmet,"""Nova头盔"""
Nova Asuri Helmet,"""Nova阿修罗头盔"""
Nova Prime Helmet,"""Nova Prime头盔"""
Nova Slipstream Helmet,"""Nova气流头盔"""
Nyx Vespa Helmet,"""Nyx黄蜂头盔"""
Nyx Nemesis Helmet,"""Nyx复仇女神头盔"""
Excalibur Obsidian Azura Helmet,"""Excalibur黑曜石碧空头盔"""
Oberon Markhor Helmet,"""Oberon捻角山羊头盔"""
Oberon Oryx Helmet,"""Oberon羚羊头盔"""
Oberon Feyarch Helmet,"""Oberon精灵之王头盔"""
Oberon Helmet,"""Oberon头盔"""
Excalibur Proto-Armor Helmet,"""Excalibur原型装甲头盔"""
Excalibur Obsidian Helmet,"""Excalibur黑曜石头盔"""
Ivara Loxley Helmet,"""Ivara洛克斯利头盔"""
Ivara Helmet,"""Ivara头盔"""
Rhino Thrak Helmet,"""Rhino震击头盔"""
Rhino Vanguard Helmet,"""Rhino先锋头盔"""
Rhino Helmet,"""Rhino头盔"""
Rhino Palatine Helmet,"""Rhino伯爵头盔"""
Rhino Prime Helmet,"""Rhino Prime头盔"""
Rhino Rubedo Plated Helmet,"""Rhino电镀红晶头盔"""
Inaros Anubis Helmet,"""Inaros阿努比斯头盔"""
Inaros Helmet,"""Inaros头盔"""
Saryn Chlora Helmet,"""Saryn氯毒头盔"""
Saryn Hemlock Helmet,"""Saryn铁杉头盔"""
Saryn Helmet,"""Saryn头盔"""
Saryn Orphid Helmet,"""Saryn兰花头盔"""
Mag Anthro Helmet,"""Mag人类学头盔"""
Volt Arrester Helmet,"""Volt避雷头盔"""
Excalibur Arturius Helmet,"""Excalibur亚瑟略斯头盔"""
Mag Induction Helmet,"""Mag电磁感应头盔"""
Excalibur Isurus Helmet,"""Excalibur鲭鲨头盔"""
Excalibur Ogrant Helmet,"""Excalibur欧格朗特头盔"""
Volt Relay Helmet,"""Volt继电头盔"""
Excalibur Vespula Helmet,"""Excalibur胡蜂头盔"""
Mag Knaita Helmet,"""Mag磁曲刃头盔"""
Volt Amp Helmet,"""Volt安培头盔"""
Nova Cygni Helmet,"""Nova天鹅座头盔"""
Mesa Falcon Helmet,"""Mesa战隼头盔"""
Zephyr Hagoromo Helmet,"""Zephyr羽衣头盔"""
Chroma Kaiju Helmet,"""Chroma怪兽头盔"""
Nekros Lazarus Helmet,"""Nekros拉撒路头盔"""
Zephyr Monsoon Helmet,"""Zephyr季风头盔"""
Mag Orbit Helmet,"""Mag轨道头盔"""
Excalibur Sentient Slayer Helmet,"""Excalibur Sentient杀手头盔"""
Zephyr Skeiron Helmet,"""Zephyr西北风神头盔"""
Chroma Tarrasque Helmet,"""Chroma塔拉斯各头盔"""
Volt Thales Helmet,"""Volt泰勒斯头盔"""
Mag Toroidal Helmet,"""Mag环状头盔"""
Titania Helmet,"""Titania头盔"""
Vauban Esprit Helmet,"""Vauban机敏头盔"""
Vauban Helmet,"""Vauban头盔"""
Trinity Aura Helmet,"""Trinity预言头盔"""
Trinity Meridian Helmet,"""Trinity经络头盔"""
Trinity Helmet,"""Trinity头盔"""
Trinity Strega Helmet,"""Trinity黑魔女头盔"""
Valkyr Kara Helmet,"""Valkyr狂者头盔"""
Valkyr Bastet Helmet,"""Valkyr芭丝特头盔"""
Valkyr Helmet,"""Valkyr头盔"""
Vauban Gambit Helmet,"""Vauban策略头盔"""
Vauban Armistice Helmet,"""Vauban休战头盔"""
Vauban Phased Helmet,"""Vauban相位头盔"""
Volt Storm Helmet,"""Volt风暴头盔"""
Volt Pulse Helmet,"""Volt脉冲头盔"""
Volt Helmet,"""Volt头盔"""
Volt Prime Helmet,"""Volt Prime头盔"""
Excalibur Prisma Avalon Helmet,"""Excalibur棱晶阿瓦隆头盔"""
Excalibur Prisma Helmet,"""Excalibur棱晶头盔"""
Excalibur Prisma Pendragon Helmet,"""Excalibur棱晶潘德拉冈头盔"""
Wukong Dasheng Helmet,"""Wukong大圣头盔"""
Zephyr Cierzo Helmet,"""Zephyr西熟风头盔"""
Zephyr Helmet,"""Zephyr头盔"""
Zephyr Tengu Helmet,"""Zephyr天狗头盔"""
Ceno Helmet,"""Ceno头盔"""
Ash Prime Helmet,"""Ash Prime头盔"""
Banshee Prime Helmet,"""Banshee Prime头盔"""
Chroma Prime Helmet,"""Chroma Prime头盔"""
Hydroid Prime Helmet,"""Hydroid Prime头盔"""
Limbo Prime Helmet,"""Limbo Prime头盔"""
Mesa Prime Helmet,"""Mesa Prime头盔"""
Mirage Prime Helmet,"""Mirage Prime头盔"""
Nekros Prime Helmet,"""Nekros Prime头盔"""
Oberon Prime Helmet,"""Oberon Prime头盔"""
Saryn Prime Helmet,"""Saryn Prime头盔"""
Trinity Prime Helmet,"""Trinity Prime头盔"""
Valkyr Prime Helmet,"""Valkyr Prime头盔"""
Vauban Prime Helmet,"""Vauban Prime头盔"""
Zephyr Prime Helmet,"""Zephyr Prime头盔"""
Ember Vermillion Helmet,"""Ember朱红头盔"""
Excalibur Dex Helmet,"""Excalibur Dex头盔"""
Inaros Ramses Helmet,"""Inaros拉美西斯头盔"""
Rhino Jade Helmet,"""Rhino翡翠头盔"""
Khora Delphi Helmet,"""Khora德尔斐头盔"""
Khora Helmet,"""Khora头盔"""
Mag Pneuma Helmet,"""Mag元气头盔"""
Mesa Presidio Helmet,"""Mesa边塞头盔"""
Nekros Irkalla Helmet,"""Nekros伊卡拉头盔"""
Octavia Maestra Helmet,"""Octavia音乐名家头盔"""
Volt Proto Helmet,"""Volt原型头盔"""
Volt Prominence Helmet,"""Volt名望头盔"""
Frost Grost Helmet,"""Frost G之风格头盔"""
Frost Hailstorm Helmet,"""Frost冰雹头盔"""
Frost Summit Helmet,"""Frost高峰头盔"""
Frost Vojnik Helmet,"""Frost列兵头盔"""
Frost Zastruga Helmet,"""Frost雪脊头盔"""
Mag Alata Helmet,"""Mag阿拉塔头盔"""
Mesa Dead Eye Helmet,"""Mesa死亡之眼头盔"""
Nova Device Helmet,"""Nova计谋头盔"""
Nova Gnova Helmet,"""Nova G之风格头盔"""
Nova Lamia Helmet,"""Nova蛇身女怪头盔"""
Nova Stinger Helmet,"""Nova毒刺头盔"""
Nova Tachyon Helmet,"""Nova超光子头盔"""
Nova Visage Helmet,"""Nova面容头盔"""
Saryn Amalgama Helmet,"""Saryn汞合金头盔"""
Nyx Ampulex Helmet,"""Nyx扁头泥蜂头盔"""
Trinity Ancyra Helmet,"""Trinity安卡拉头盔"""
Ivara Arcuata Helmet,"""Ivara弓形头盔"""
Atlas Graxx Helmet,"""Atlas G之风格头盔"""
Wukong Auman Helmet,"""Wukong神猴头盔"""
Ash Bai Hu Helmet,"""Ash白虎头盔"""
Saryn Belladonna Helmet,"""Saryn颠茄头盔"""
Volt Capacitor Helmet,"""Volt电容头盔"""
Nyx Carnifex Helmet,"""Nyx刽子手头盔"""
Excalibur Corpra Helmet,"""Excalibur C之船员头盔"""
Valkyr Delusion Helmet,"""Valkyr妄想头盔"""
Mesa Devil Ranger Helmet,"""Mesa恶魔游侠头盔"""
Nezha Devine Helmet,"""Nezha感知头盔"""
Octavia Diva Helmet,"""Octavia歌姬头盔"""
Banshee Dominia Helmet,"""Banshee女主头盔"""
Nezha Dracun Helmet,"""Nezha龙线虫头盔"""
Oberon Ferosh Helmet,"""Oberon猛烈头盔"""
Harrow Graxx Helmet,"""Harrow G之风格头盔"""
Hydroid Graxx Helmet,"""Hydroid G之风格头盔"""
Mag Graxx Helmet,"""Mag G之风格头盔"""
Mesa Graxx Helmet,"""Mesa G之风格头盔"""
Nova Graxx Helmet,"""Nova G之风格头盔"""
Vauban Graxx Helmet,"""Vauban G之风格头盔"""
Harrow Hieropha Helmet,"""Harrow圣职者头盔"""
Frost Himavat Helmet,"""Frost雪妖头盔"""
Inaros Horus Helmet,"""Inaros荷鲁斯头盔"""
Ember Ignition Helmet,"""Ember引燃头盔"""
Loki Incubus Helmet,"""Loki梦魇头盔"""
Equinox Insomnia Helmet,"""Equinox不寐头盔"""
Saryn Integra Helmet,"""Saryn型格头盔"""
Valkyr Ion Helmet,"""Valkyr离子头盔"""
Inaros Kephri Helmet,"""Inaros凯布利头盔"""
Trinity Knightess Helmet,"""Trinity女骑士头盔"""
Ember Magesty Helmet,"""Ember威严头盔"""
Rhino Mastodon Helmet,"""Rhino乳齿象头盔"""
Mirage Mithra Helmet,"""Mirage密特拉头盔"""
Atlas Monolith Helmet,"""Atlas独石头盔"""
Mirage Morgaine Helmet,"""Mirage摩甘娜头盔"""
Saryn Napellus Helmet,"""Saryn舟形乌头头盔"""
Saryn Nita'S Moda Helmet,"""Saryn妮塔的时尚头盔"""
Hydroid Poseidon Helmet,"""Hydroid波塞冬头盔"""
Atlas Arhat Helmet,"""Atlas罗汉头盔"""
Loki Rogue Helmet,"""Loki恶棍头盔"""
Oberon Destrier Helmet,"""Oberon战马头盔"""
Trinity Messiah Helmet,"""Trinity弥赛亚头盔"""
Valkyr Cheetah Helmet,"""Valkyr猎豹头盔"""
Wukong Xingzhe Helmet,"""Wukong行者头盔"""
Excalibur Apex Helmet,"""Excalibur顶点头盔"""
Excalibur Caduto Helmet,"""Excalibur陷落头盔"""
Excalibur Graxx Helmet,"""Excalibur G之风格头盔"""
Frost Jotun Helmet,"""Frost冰霜巨人头盔"""
Excalibur Graxx-V2 Helmet,"""Excalibur G之风格-V2头盔"""
Loki Ersatz Helmet,"""Loki合成头盔"""
Mirage Graxx Helmet,"""Mirage G之风格头盔"""
Mirage Jolli Helmet,"""Mirage欢乐头盔"""
Mirage Sigyn Helmet,"""Mirage西格恩头盔"""
Nova Fusion Helmet,"""Nova融合头盔"""
Nyx Athena Helmet,"""Nyx雅典娜头盔"""
Rhino Graxx Helmet,"""Rhino G之风格头盔"""
Valkyr Graxx Helmet,"""Valkyr G之风格头盔"""
Vauban Chapelon Helmet,"""Vauban沙佩隆头盔"""
Volt Graxx Helmet,"""Volt G之风格头盔"""
Zephyr Migisi Helmet,"""Zephyr白头鹫头盔"""
Ash Carabid Helmet,"""Ash步甲头盔"""
Atlas Telamon Helmet,"""Atlas特拉蒙头盔"""
Banshee Echo Helmet,"""Banshee回声头盔"""
Ember Graxx Helmet,"""Ember G之风格头盔"""
Frost Emperor Helmet,"""Frost帝王头盔"""
Nyx Graxx Helmet,"""Nyx G之风格头盔"""
Saryn Graxx Helmet,"""Saryn G之风格头盔"""
Nyx Saikou Helmet,"""Nyx精神病头盔"""
Banshee Sonority Helmet,"""Banshee洪亮头盔"""
Vauban Suppressor Helmet,"""Vauban镇压者头盔"""
Oberon Taurus Helmet,"""Oberon金牛宫头盔"""
Rhino Teutonic Helmet,"""Rhino条顿头盔"""
Ash Tsukuyomi Helmet,"""Ash月读头盔"""
Titania Unseelie Helmet,"""Titania邪恶妖精头盔"""
Limbo Vasiona Helmet,"""Limbo宇宙头盔"""
Saryn Velenosa Helmet,"""Saryn恶毒头盔"""
Limbo Venari Helmet,"""Limbo狩猎头盔"""
Limbo Vistyxio Helmet,"""Limbo冥界子爵头盔"""
Rhino Warlust Helmet,"""Rhino海象头盔"""
Oberon Wendigo Helmet,"""Oberon温迪戈头盔"""
Nezha Yaksha Helmet,"""Nezha夜叉头盔"""
Ivara Youkai Helmet,"""Ivara妖怪头盔"""
Volt Zener Helmet,"""Volt齐纳头盔"""
Octavia Helmet,"""Octavia头盔"""
Gara Virago Helmet,"""Gara悍妇头盔"""
Gara Helmet,"""Gara头盔"""
Nidus Helmet,"""Nidus头盔"""
Harrow Suffragan Helmet,"""Harrow副主教头盔"""
Harrow Helmet,"""Harrow头盔"""
Peculiar Growth,"""生长怪奇"""
Reawaken,"""再启动"""
Divine Will,"""神圣意志"""
Nekros Irkalla Collection,"""Nekros伊卡拉组合包"""
Magnum Mambo,"""重炮曼波"""
Lead Tango,"""铅导探戈"""
Automatic Rhumba,"""全自动伦巴"""
Frysta Longsword Skin,"""凝冰长剑外观"""
Negate,"""抵消"""
Kavats,"""库娃"""
Kubrows,"""库狛"""
Control Console,"""控制台"""
Fortress Turret,"""Grineer炮台"""
Orokin Void Laser Console,"""Orokin虚空激光控制台"""
Health Orb,"""生命球"""
Energy Orb,"""能量球"""
Fortress Scanner,"""Grineer感应条"""
Affinity Orb,"""经验球"""
Ash Koga Skin Bundle,"""Ash甲贺外观组合包"""
Ormolu Skin Bundle,"""镀金外观组合包"""
Immortal Skin Bundle,"""不朽外观组合包"""
Loki Deluxe Skin Bundle,"""Loki华丽外观组合包"""
Tennogen Weapon Skin Bundle,"""Tennogen武器外观组合包"""
Solstice Skin Bundle,"""冬至外观组合包"""
Maggor Armor Bundle,"""玛戈护甲组合包"""
Zauba Armor Bundle,"""Zauba护甲组合包"""
Ceno Armor Bundle,"""Ceno护甲组合包"""
Vahd Armor Bundle,"""Vahd护甲组合包"""
Tennocon 2018 Armor Bundle,"""Tennocon 2018护具组合包"""
Ceramica Armor Bundle,"""陶瓷装甲组合包"""
Syrinx Armor Bundle,"""鸣管护甲组合包"""
Gazal Armor Bundle,"""加扎勒护甲组合包"""
Porta Armor Bundle,"""传送门护甲组合包"""
Daedalus Armor Bundle,"""代达罗斯装甲包"""
Eos Armor Bundle,"""曙光女神盔甲包"""
Edo Armor Bundle,"""江户护甲包"""
Embolist Armor Bundle,"""安柏勒斯护甲组合包"""
Iliac Armor Bundle,"""髂骨护甲组合包"""
Solstice Daedalus Armor Bundle,"""冬至代达罗斯护甲组合包"""
Koppra Operator Suit Bundle,"""Koppra指挥官套装组合包"""
Varida Operator Suit Bundle,"""Varida指挥官套装组合包"""
Hunhow's Gift,"""Hunhow的礼物"""
Kopesh Longsword Skin,"""镰刀长剑外观"""
Spearmint Scythe,"""薄荷口味拐杖糖镰刀外观"""
Winter Solstice Skin Bundle,"""冬至外观组合包"""
Rubedo Skins,"""电镀红晶系列外观"""
Third Party Deals and Rewards,"""第三方合作和奖励"""
Harkonar Weapon Skin Collection,"""哈库纳武器外观组合包"""
Slam Attack,"""震地攻击"""
jump attack,"""跳跃攻击"""
Carmine Penta,"""嫣红潘塔"""
Rakta,"""绯红"""
swing,"""攻击"""
Apostasy Prologue,"""变节序言"""
slot,"""槽位"""
Executioner Harkonar,"""行刑者Harkonar"""
Executioner Dhurnam,"""行刑者Dhurnam"""
Executioner Dok Thul,"""行刑者Dok Thul"""
Executioner Garesh,"""行刑者Garesh"""
Executioner Nok,"""行刑者Nok"""
Executioner Reth,"""行刑者Reth"""
Executioner Zura,"""行刑者Zura"""
Alert Missions,"""警报"""
Lone Vengeance,"""孤独复仇"""
Impending Dread,"""恐惧迫近"""
Rising Hate,"""憎恨增强"""
Drowning Despair,"""绝望淹溺"""
Oberon Feyarch Collection,"""Oberon精灵之王组合包"""
Octavia Maestra Collection,"""Octavia音乐名家收藏"""
Verismo Syandana,"""写实歌剧披饰"""
Melia Sugatra,"""栋之坠饰"""
Inaros Ramses Collection,"""Inaros拉美西斯组合包"""
Scarab Syandana,"""圣甲虫披饰"""
Volt Proto Skin Collection,"""Volt原型外观组合包"""
Cathode Syandana,"""阴极披饰"""
AT Ogris,"""自动追踪食人女魔"""
Bundle,"""组合包"""
Deluxe Skins,"""华丽外观"""
Immortal Skin,"""不朽外观"""
Mask,"""面具"""
Forest-Camo Skin,"""森林迷彩外观"""
Gazal Skin,"""加扎勒外观"""
Nightwatch Skin,"""夜巡者外观"""
Bundles,"""组合包"""
Obsidian Skin,"""黑曜石外观"""
Jade Skin,"""翡翠外观"""
Wing,"""飞翼"""
ColtekMask,"""寇塔克面具"""
HunhowMask,"""Hunhow面具"""
IctusMask,"""扬音面具"""
KubrowMask,"""库狛面具"""
LotusMask,"""Lotus面具"""
MandibleMask,"""下颚骨面具"""
ParaMask,"""鹦鹉面具"""
Unda Prime,"""脉涌Prime"""
ChrysalisWings,"""蝶蛹飞翼"""
ColtekWings,"""寇塔克飞翼"""
DiamondWings,"""钻石飞翼"""
DomeWings,"""巨蛋飞翼"""
IctusWings,"""扬音飞翼"""
JetWings,"""喷射动力飞翼"""
ParaWings,"""鹦鹉翅膀"""
PrismaJetWings,"""棱晶喷射动力飞翼"""
Tail,"""尾部"""
CapsuleTail,"""微型尾部"""
ColtekTail,"""寇塔克尾部"""
IctusTail,"""扬音尾部"""
ParaTail,"""鹦鹉尾部"""
KoiTail,"""锦鲤尾部"""
PrismaKoiTail,"""棱晶锦鲤尾部"""
Sentinel Accessory Pack,"""守护配件组合包"""
Sentinel Accessory Pack 2,"""守护配件组合包2"""
Coltek Sentinel Pack,"""寇塔克守护组合包"""
Ictus Sentinel Pack,"""扬音组合包"""
ParaBundle,"""鹦鹉组合包"""
Cephalon Jordas,"""中枢Jordas"""
Cephalon Vull,"""中枢Vull"""
Cephalon Apnar,"""中枢Apnar"""
Cephalon Samodeus,"""中枢Samodeus"""
Primed Sure Footed,"""顶天立地Prime"""
Gazal Complete Collection,"""加扎勒完整套装"""
Nightwatch Skin Pack,"""夜巡者外观包"""
Update 13 Mega Pack,"""更新13超级组合包"""
Ki'Teer Arrows,"""Ki'Teer箭矢外观"""
Bought,"""购买"""
console,"""主机"""
console platforms,"""主机平台"""
Towsun Skin Collection,"""夏至外观组合包"""
Centuria Towsun Syandana,"""百人夏至披饰"""
Dagger Zoren Skin,"""佐伦双斧戈刃外观"""
Crafted,"""制造"""
Ceramica Collection,"""陶瓷组合包"""
Radial Howl,"""范围嚎声"""
Archwing Cosmetics,"""Archwing外观"""
Exalted Blade (Weapon),"""显赫刀剑（武器）"""
Exalted Weapon,"""显赫武器"""
Pyrana Prime,"""食人鱼Prime"""
Destreza Prime,"""技巧之剑Prime"""
Greater Lens,"""高级晶体"""
Skiajati,"""影生"""
Atavist Prime,"""返像Prime"""
Edo Prime,"""江户Prime"""
Spritsail Prime,"""斜帆Prime"""
Targis Prime,"""超瓷材Prime"""
Acanthus Prime,"""莨苕Prime"""
Harkonar Wraith,"""哈库纳亡魂"""
Dendra,"""登德拉"""
Foros,"""福罗斯"""
Obsidian Dendra,"""黑曜石登德拉"""
Obsidian Azura,"""黑曜石碧空"""
Exclusive,"""限定"""
Jade Daedalus,"""翡翠代达罗斯"""
Naberus,"""恶魔纳贝流士"""
PrismaNaberus,"""棱晶恶魔纳贝流士"""
Ki'Teer Fireworks,"""Ki'Teer烟花"""
Baits,"""鱼饵"""
Cutters,"""切割器"""
Nosam Cutter,"""诺萨姆切割器"""
Focused Nosam Cutter,"""聚焦诺萨姆切割器"""
Advanced Nosam Cutter,"""高级诺萨姆切割器"""
Dex Pixia,"""Dex妖精"""
Diwata,"""仙女"""
Regulators,"""监察者双枪"""
Artemis Bow (Weapon),"""月神狩弓（武器）"""
Regulators (Weapon),"""监察者双枪"""
Equinox Clisthert Helmet,"""Equinox晨昏恶魔头盔"""
Ba'Geth Tonfa Skin,"""拐刃G之武风外观"""
Valkyr Talons,"""Valkyr之爪"""
Iron Staff,"""定海神针"""
Liset Maltzer Oculus Skin,"""Liset隐匿之眼外观"""
Infested boils,"""Infested疖瘤"""
Corpus Void Key,"""Corpus虚空钥匙"""
Insatiable,"""不竭贪婪"""
Warding Thurible,"""庇护焚炉"""
Partitioned Mallet,"""分裂槌音"""
Empowered Quiver,"""强化箭袋"""
Mortos Binds,"""死亡枷锁"""
Chordalla Prime,"""寇达菈Prime"""
Chroma Dynasty Wings,"""Chroma王朝翅膀"""
Irkalla Binds,"""伊卡拉枷锁"""
Valkyr's Bonds,"""Valkyr的枷锁"""
Excalibur Umbra Sunder Helmet,"""Excalibur Umbra断裂头盔"""
Warframe Blueprint,"""战甲蓝图"""
Warframe Neuroptics,"""战甲头部神经光元"""
Warframe Systems,"""战甲系统"""
Warframe Chassis,"""战甲机体"""
Umbral Intensify,"""暗影聚精会神"""
Umbral Vitality,"""暗影生命力"""
Umbral Fiber,"""暗影纤维"""
Sacrificial Steel,"""牺牲斩铁"""
Sacrificial Pressure,"""牺牲压迫点"""
Towsun Skin Collection II,"""夏至外观组合包II"""
Maggor Towsun Armor,"""夏至玛戈护甲"""
Maggor Towsun Syandana,"""夏至玛戈披饰"""
Quartakk Towsun Skin,"""夸塔克夏至外观"""
Stubba Towsun Skin,"""史度巴夏至外观"""
Gorgon Towsun Skin,"""蛇发女妖夏至外观"""
